"PC6","neighb_code","n_individuals","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","female","male","Western","Non_Western","Dutch","education_low","education_middle","education_high","n_households","household_avg_size","children","couples_with_children","couples_without_children","singleparents","singles","no_children","neighb_name"
"2533CP","BU05183638",50,14,4,18,7,7,28,22,8,27,15,13,14,13,20,2.5,20,7,3,4,6,30,"Moerwijk-Noord"
"2533CR","BU05183638",40,9,4,19,7,1,21,19,12,18,10,11,12,10,19,2.11,12,6,3,2,8,28,"Moerwijk-Noord"
"2533CS","BU05183638",72,15,8,21,20,8,32,40,15,37,20,23,22,14,32,2.25,25,11,4,3,14,47,"Moerwijk-Noord"
"2533CT","BU05183638",54,9,7,19,15,4,27,27,14,23,17,16,18,11,29,1.86,16,7,2,3,17,38,"Moerwijk-Noord"
"2533EA","BU05183638",47,11,11,7,12,6,21,26,8,32,7,11,12,15,16,2.94,20,7,4,2,3,27,"Moerwijk-Noord"
"2533EB","BU05183638",57,10,6,22,14,5,33,24,11,34,12,14,18,16,27,2.11,15,7,8,3,9,42,"Moerwijk-Noord"
"2533EC","BU05183638",57,10,8,10,19,10,31,26,10,25,22,20,15,14,25,2.28,20,9,3,3,10,37,"Moerwijk-Noord"
"2533ED","BU05183638",36,2,7,9,11,7,20,16,9,20,7,12,14,7,18,2,8,4,6,0,8,28,"Moerwijk-Noord"
"2533EE","BU05183638",47,9,9,13,13,3,21,26,8,26,13,19,8,12,20,2.35,19,6,2,5,7,28,"Moerwijk-Noord"
"2533EG","BU05183638",43,12,3,15,9,4,21,22,7,27,9,8,11,16,22,1.95,15,5,1,4,12,28,"Moerwijk-Noord"
"2533EH","BU05183637",22,5,1,10,2,4,12,10,4,9,9,6,3,8,13,1.69,5,2,2,1,8,17,"Moerwijk-West"
"2533EJ","BU05183637",23,3,5,9,4,2,11,12,3,17,3,9,6,5,14,1.64,6,3,0,0,11,17,"Moerwijk-West"
"2533EK","BU05183637",35,4,4,13,8,6,16,19,7,22,6,12,11,7,18,1.94,9,5,3,1,9,26,"Moerwijk-West"
"2533EL","BU05183637",38,7,2,16,7,6,13,25,7,21,10,8,14,9,18,2.11,10,4,6,1,7,28,"Moerwijk-West"
"2533EM","BU05183637",34,10,4,9,7,4,17,17,2,27,5,11,10,5,15,2.27,14,3,2,4,6,20,"Moerwijk-West"
"2533EN","BU05183637",71,15,9,17,21,9,33,38,6,44,21,23,24,12,34,2.09,26,9,2,3,20,45,"Moerwijk-West"
"2533EP","BU05183637",51,11,7,11,19,3,28,23,3,33,15,17,13,14,25,2.04,17,8,1,1,15,34,"Moerwijk-West"
"2533ER","BU05183637",39,7,4,13,10,5,18,21,6,28,5,11,10,11,25,1.56,9,1,4,6,14,30,"Moerwijk-West"
"2533ES","BU05183637",37,9,3,9,14,2,17,20,3,24,10,9,11,7,18,2.06,12,7,0,1,10,25,"Moerwijk-West"
"2533ET","BU05183637",30,5,2,8,9,6,14,16,2,20,8,9,12,5,18,1.67,7,2,3,3,10,23,"Moerwijk-West"
"2533EV","BU05183637",44,13,7,8,11,5,24,20,5,24,15,12,16,4,20,2.2,17,3,4,4,9,27,"Moerwijk-West"
"2533EW","BU05183637",52,14,4,20,7,7,26,26,14,32,6,12,13,13,25,2.08,17,7,3,2,13,35,"Moerwijk-West"
"2533GA","BU05183637",24,4,2,6,7,5,14,10,0,18,6,12,4,5,16,1.5,5,2,1,3,10,19,"Moerwijk-West"
"2533GB","BU05183637",43,11,4,14,5,9,23,20,2,31,10,14,13,6,18,2.39,13,8,4,0,6,30,"Moerwijk-West"
"2533GC","BU05183637",37,5,5,13,12,2,16,21,6,23,8,12,11,9,17,2.18,9,7,4,0,6,28,"Moerwijk-West"
"2533GD","BU05183637",35,4,7,10,8,6,17,18,2,23,10,9,6,16,15,2.33,13,4,3,2,6,22,"Moerwijk-West"
"2533GE","BU05183637",34,10,4,8,7,5,19,15,4,20,10,11,3,12,16,2.12,12,5,1,2,8,22,"Moerwijk-West"
"2533GG","BU05183637",64,14,6,19,15,10,34,30,6,43,15,13,17,21,27,2.37,22,10,5,2,10,42,"Moerwijk-West"
"2533GH","BU05183637",29,5,2,5,10,7,10,19,4,15,10,10,9,5,16,1.81,7,5,1,1,9,22,"Moerwijk-West"
"2533GJ","BU05183637",43,9,5,16,10,3,20,23,6,23,14,9,12,15,21,2.05,13,6,3,1,11,30,"Moerwijk-West"
"2533GK","BU05183637",10,3,1,3,3,0,7,3,1,7,2,5,1,2,4,2.5,4,0,2,2,0,6,"Moerwijk-West"
"2533GL","BU05183637",33,7,3,10,9,4,17,16,5,22,6,10,5,13,16,2.06,10,4,3,2,7,23,"Moerwijk-West"
"2533GM","BU05183637",3,0,0,2,1,0,1,2,0,3,0,0,2,1,3,1,0,0,0,0,3,3,"Moerwijk-West"
"2533GN","BU05183637",29,7,1,14,7,0,13,16,5,17,7,12,4,7,14,2.07,8,6,1,0,7,21,"Moerwijk-West"
"2533GP","BU05183637",10,2,1,2,1,4,6,4,1,6,3,1,3,5,6,1.67,3,0,1,1,4,7,"Moerwijk-West"
"2533GR","BU05183637",28,9,0,13,4,2,14,14,7,16,5,7,5,8,10,2.8,11,6,1,1,2,17,"Moerwijk-West"
"2533GS","BU05183637",6,0,0,1,3,2,4,2,1,5,0,5,0,1,5,1.2,0,0,1,0,4,6,"Moerwijk-West"
"2533GT","BU05183637",56,14,3,14,18,7,26,30,7,38,11,8,17,21,30,1.87,19,5,2,4,19,37,"Moerwijk-West"
"2533GV","BU05183637",24,0,4,4,7,9,9,15,0,15,9,11,6,7,16,1.5,2,2,4,0,10,22,"Moerwijk-West"
"2533GW","BU05183637",36,10,2,14,4,6,19,17,3,26,7,11,9,8,14,2.57,13,7,2,1,4,23,"Moerwijk-West"
"2533GX","BU05183637",52,7,8,13,14,10,26,26,5,31,16,14,14,19,28,1.86,12,6,6,1,15,40,"Moerwijk-West"
"2533GZ","BU05183637",34,10,1,9,10,4,14,20,2,17,15,9,8,9,17,2,11,5,1,1,10,23,"Moerwijk-West"
"2533HA","BU05183637",29,6,3,10,7,3,14,15,5,18,6,8,10,8,16,1.81,8,3,2,1,10,21,"Moerwijk-West"
"2533HC","BU05183637",24,0,4,5,7,8,10,14,0,15,9,12,6,6,13,1.85,4,2,5,0,6,20,"Moerwijk-West"
"2533HD","BU05183637",23,4,3,8,4,4,11,12,0,17,6,6,7,5,15,1.53,7,0,1,5,9,16,"Moerwijk-West"
"2533HE","BU05183637",56,16,6,17,10,7,24,32,4,36,16,15,12,17,25,2.24,20,6,5,5,9,36,"Moerwijk-West"
"2533HG","BU05183637",71,20,4,25,14,8,37,34,11,45,15,23,13,17,31,2.29,24,11,5,2,13,47,"Moerwijk-West"
"2533HH","BU05183637",26,3,3,7,6,7,16,10,2,16,8,8,4,10,17,1.53,6,3,0,0,14,20,"Moerwijk-West"
"2533HJ","BU05183637",21,5,2,8,6,0,12,9,7,14,0,6,4,6,8,2.62,8,3,2,1,2,13,"Moerwijk-West"
"2533HN","BU05183637",49,6,8,11,18,6,23,26,2,33,14,10,15,16,25,1.96,15,4,5,4,12,34,"Moerwijk-West"
"2533HP","BU05183637",18,4,2,3,4,5,11,7,1,12,5,5,2,7,10,1.8,4,2,2,1,5,14,"Moerwijk-West"
"2533HR","BU05183637",31,5,3,13,8,2,14,17,3,20,8,7,11,10,18,1.72,6,5,2,0,11,25,"Moerwijk-West"
"2533HS","BU05183637",33,7,6,11,8,1,18,15,2,25,6,8,9,9,16,2.06,9,4,4,0,8,24,"Moerwijk-West"
"2533HT","BU05183637",40,12,5,15,8,0,22,18,3,27,10,13,6,9,17,2.35,15,5,3,3,6,25,"Moerwijk-West"
"2533HV","BU05183637",12,4,0,1,6,1,6,6,2,6,4,3,4,3,5,2.4,5,2,0,1,2,7,"Moerwijk-West"
"2533HW","BU05183637",53,11,5,11,21,5,24,29,8,32,13,16,16,15,25,2.12,18,6,4,4,11,35,"Moerwijk-West"
"2533HX","BU05183637",20,3,3,7,3,4,9,11,1,12,7,2,8,6,9,2.22,5,2,4,1,2,15,"Moerwijk-West"
"2533JA","BU05183637",71,10,9,19,25,8,34,37,5,46,20,23,23,17,36,1.97,19,12,4,1,19,52,"Moerwijk-West"
"2533JB","BU05183637",37,8,4,13,10,2,23,14,5,24,8,10,12,8,19,1.95,11,5,2,3,9,26,"Moerwijk-West"
"2533JC","BU05183637",40,11,4,13,11,1,16,24,7,24,9,10,11,10,20,2,14,5,1,4,10,26,"Moerwijk-West"
"2533JD","BU05183637",31,8,4,11,6,2,14,17,3,20,8,11,7,8,18,1.72,9,3,1,3,11,22,"Moerwijk-West"
"2533JE","BU05183637",82,24,9,18,25,6,36,46,9,58,15,22,20,17,32,2.56,34,13,3,6,10,48,"Moerwijk-West"
"2533JG","BU05183637",42,12,3,11,11,5,23,19,2,28,12,10,12,10,24,1.75,14,4,0,3,17,28,"Moerwijk-West"
"2533JH","BU05183637",25,9,0,11,5,0,11,14,2,18,5,4,3,9,9,2.78,10,6,0,0,3,15,"Moerwijk-West"
"2533JJ","BU05183637",25,6,4,3,6,6,16,9,2,12,11,6,7,7,13,1.92,9,1,2,4,6,16,"Moerwijk-West"
"2533JK","BU05183637",16,3,3,4,4,2,11,5,0,12,4,6,4,3,10,1.6,4,2,0,0,8,12,"Moerwijk-West"
"2533JL","BU05183637",13,0,4,5,2,2,3,10,0,11,2,4,4,5,10,1.3,2,0,1,2,7,11,"Moerwijk-West"
"2533JM","BU05183637",19,4,1,5,4,5,9,10,1,16,2,3,5,7,9,2.11,4,3,3,0,3,15,"Moerwijk-West"
"2533JN","BU05183637",38,10,3,14,8,3,23,15,2,29,7,5,18,6,20,1.9,12,5,1,2,12,26,"Moerwijk-West"
"2533JP","BU05183637",52,12,8,14,10,8,29,23,8,32,12,14,14,12,23,2.26,20,7,2,3,11,32,"Moerwijk-West"
"2533JR","BU05183637",22,5,4,3,7,3,12,10,4,13,5,4,9,5,9,2.44,8,3,2,2,2,14,"Moerwijk-West"
"2533JS","BU05183637",39,11,4,12,8,4,19,20,3,23,13,12,12,6,17,2.29,14,5,3,2,7,25,"Moerwijk-West"
"2533JT","BU05183637",24,5,2,10,6,1,12,12,2,18,4,6,7,7,13,1.85,5,3,3,1,6,19,"Moerwijk-West"
"2533JV","BU05183637",52,14,8,17,9,4,27,25,5,38,9,18,11,10,21,2.48,21,8,2,4,7,31,"Moerwijk-West"
"2533KA","BU05183637",47,14,3,13,12,5,21,26,3,29,15,10,9,16,24,1.96,17,4,2,6,12,30,"Moerwijk-West"
"2533KB","BU05183637",44,5,3,21,8,7,23,21,6,29,9,12,20,8,27,1.63,8,5,4,0,18,36,"Moerwijk-West"
"2533KC","BU05183637",41,7,4,10,13,7,19,22,3,29,9,10,13,10,20,2.05,10,5,6,1,8,31,"Moerwijk-West"
"2533KD","BU05183637",44,13,4,11,8,8,26,18,3,30,11,9,13,12,22,2,15,4,3,4,11,29,"Moerwijk-West"
"2533KE","BU05183637",50,9,0,17,16,8,22,28,5,31,14,8,17,18,25,2,12,7,6,0,12,38,"Moerwijk-West"
"2533KG","BU05183637",74,18,11,18,18,9,40,34,14,46,14,21,17,19,29,2.55,29,12,4,1,12,45,"Moerwijk-West"
"2533KH","BU05183637",36,9,1,12,10,4,19,17,2,23,11,8,10,12,18,2,9,5,4,0,9,27,"Moerwijk-West"
"2533KJ","BU05183637",43,14,3,11,9,6,24,19,4,26,13,15,3,12,18,2.39,18,7,0,3,8,25,"Moerwijk-West"
"2533KK","BU05183637",48,10,6,10,12,10,19,29,2,31,15,11,14,14,30,1.6,12,3,3,2,22,36,"Moerwijk-West"
"2533KL","BU05183637",22,4,1,7,6,4,14,8,3,14,5,8,5,5,16,1.38,5,0,1,4,11,17,"Moerwijk-West"
"2533KM","BU05183637",15,4,1,6,4,0,7,8,1,9,5,4,4,3,6,2.5,6,3,0,0,3,9,"Moerwijk-West"
"2533KN","BU05183637",46,11,3,16,12,4,21,25,3,31,12,12,13,12,23,2,14,8,1,2,12,32,"Moerwijk-West"
"2533KP","BU05183637",21,2,1,4,6,8,6,15,2,12,7,10,6,3,16,1.31,2,1,2,0,13,19,"Moerwijk-West"
"2533KR","BU05183637",33,6,4,11,9,3,20,13,3,21,9,6,8,13,17,1.94,9,5,2,2,8,24,"Moerwijk-West"
"2533KS","BU05183637",37,5,5,13,8,6,19,18,5,22,10,13,12,7,23,1.61,10,4,0,2,17,27,"Moerwijk-West"
"2533KT","BU05183637",43,15,3,14,6,5,16,27,4,30,9,10,10,11,18,2.39,17,7,1,2,8,26,"Moerwijk-West"
"2533KV","BU05183637",25,6,2,6,5,6,13,12,0,18,7,6,7,6,14,1.79,8,1,2,3,8,17,"Moerwijk-West"
"2533KW","BU05183637",36,9,3,16,6,2,20,16,5,22,9,14,7,6,18,2,11,6,1,2,9,25,"Moerwijk-West"
"2533KX","BU05183637",42,7,6,12,14,3,21,21,6,28,8,16,9,10,20,2.1,14,7,1,2,10,28,"Moerwijk-West"
"2533LA","BU05183637",26,7,2,10,5,2,13,13,3,17,6,14,4,2,13,2,8,3,2,3,5,18,"Moerwijk-West"
"2533LB","BU05183637",36,5,4,10,8,9,17,19,1,25,10,6,12,13,19,1.89,9,4,4,1,10,27,"Moerwijk-West"
"2533LC","BU05183637",40,7,5,19,8,1,17,23,7,24,9,7,12,14,19,2.11,12,6,3,1,9,28,"Moerwijk-West"
"2533LD","BU05183637",29,8,4,6,10,1,15,14,2,19,8,9,9,5,11,2.64,11,5,2,1,3,18,"Moerwijk-West"
"2533LE","BU05183637",24,4,5,7,8,0,14,10,1,15,8,7,7,6,12,2,9,2,1,3,6,15,"Moerwijk-West"
"2533LG","BU05183637",34,8,5,11,7,3,18,16,4,20,10,6,12,7,16,2.12,11,5,2,2,7,23,"Moerwijk-West"
"2533LH","BU05183637",34,11,2,14,3,4,16,18,6,21,7,6,6,11,15,2.27,14,4,1,6,4,20,"Moerwijk-West"
"2533LJ","BU05183637",34,9,1,10,9,5,19,15,5,22,7,12,8,8,16,2.12,11,7,0,0,9,23,"Moerwijk-West"
"2533LK","BU05183637",27,5,4,4,7,7,14,13,4,17,6,5,9,10,12,2.25,8,4,3,0,5,19,"Moerwijk-West"
"2533LL","BU05183637",27,3,4,10,4,6,16,11,3,17,7,9,10,5,16,1.69,7,2,2,2,10,20,"Moerwijk-West"
"2533LM","BU05183637",27,9,1,10,6,1,15,12,3,20,4,5,6,7,13,2.08,10,3,1,4,5,17,"Moerwijk-West"
"2533LN","BU05183637",36,6,4,13,6,7,20,16,4,23,9,11,9,13,20,1.8,9,3,4,2,11,27,"Moerwijk-West"
"2533LP","BU05183637",16,4,4,3,5,0,10,6,2,8,6,2,6,4,5,3.2,8,2,1,1,1,8,"Moerwijk-West"
"2533LR","BU05183637",13,2,1,5,3,2,7,6,2,8,3,4,2,5,7,1.86,4,1,1,1,4,9,"Moerwijk-West"
"2533SG","BU05183637",112,17,17,32,32,14,57,55,12,66,34,35,29,34,54,2.07,37,15,6,6,27,75,"Moerwijk-West"
"2533SH","BU05183637",9,1,1,2,1,4,5,4,1,6,2,3,1,4,4,2.25,3,1,1,0,2,6,"Moerwijk-West"
"2533SJ","BU05183637",35,12,2,11,5,5,19,16,5,24,6,9,8,8,16,2.19,12,3,4,3,6,23,"Moerwijk-West"
"2533SK","BU05183637",65,17,6,15,17,10,31,34,5,47,13,14,20,14,29,2.24,24,10,2,3,14,41,"Moerwijk-West"
"2533SL","BU05183637",31,6,3,13,7,2,13,18,4,18,9,7,12,7,18,1.72,8,2,3,3,10,23,"Moerwijk-West"
"2533SM","BU05183637",38,5,4,10,9,10,20,18,3,20,15,14,13,7,19,2,9,6,4,0,9,29,"Moerwijk-West"
"2533SN","BU05183637",23,1,7,6,5,4,10,13,1,20,2,7,8,8,15,1.53,3,3,2,0,10,20,"Moerwijk-West"
"2533SX","BU05183536",4,0,0,0,4,0,1,3,0,0,4,0,2,2,3,1.33,0,0,1,0,2,4,"Zuiderpark"
"2533TD","BU05183637",17,2,1,6,5,3,8,9,3,12,2,8,4,3,12,1.42,3,1,1,1,9,14,"Moerwijk-West"
"2533TE","BU05183637",18,4,1,6,4,3,9,9,2,12,4,5,4,7,7,2.57,5,5,1,0,1,13,"Moerwijk-West"
"2533TH","BU05183637",40,14,2,12,9,3,19,21,4,28,8,12,8,9,21,1.9,14,5,0,3,13,26,"Moerwijk-West"
"2533TJ","BU05183637",37,10,2,11,6,8,20,17,3,29,5,7,14,8,19,1.95,11,5,2,1,11,26,"Moerwijk-West"
"2533TK","BU05183637",42,9,4,12,13,4,18,24,3,24,15,12,10,10,17,2.47,15,7,3,2,5,27,"Moerwijk-West"
"2533TL","BU05183637",46,15,2,11,10,8,24,22,6,29,11,10,10,12,18,2.56,18,8,2,1,7,28,"Moerwijk-West"
"2533TM","BU05183637",26,4,5,5,8,4,14,12,3,19,4,6,9,9,14,1.86,7,2,3,3,6,19,"Moerwijk-West"
"2533TN","BU05183637",48,6,4,14,15,9,19,29,3,28,17,14,17,11,25,1.92,14,6,3,3,13,34,"Moerwijk-West"
"2533TP","BU05183637",42,9,4,8,15,6,16,26,3,31,8,9,12,15,19,2.21,12,5,6,0,8,30,"Moerwijk-West"
"2533TR","BU05183637",43,11,5,12,11,4,19,24,2,28,13,13,8,12,18,2.39,17,7,1,3,7,26,"Moerwijk-West"
"2533TS","BU05183637",47,11,2,14,12,8,22,25,5,27,15,12,10,16,23,2.04,14,5,5,3,10,33,"Moerwijk-West"
"2533TT","BU05183637",65,14,6,13,22,10,29,36,8,45,12,19,13,24,30,2.17,24,10,1,4,15,41,"Moerwijk-West"
"2533TV","BU05183637",60,18,3,23,12,4,30,30,8,41,11,21,11,13,28,2.14,20,9,3,6,10,40,"Moerwijk-West"
"2533TW","BU05183637",32,3,6,13,5,5,19,13,4,22,6,11,10,8,18,1.78,9,3,2,1,12,23,"Moerwijk-West"
"2533TX","BU05183637",52,11,5,15,12,9,28,24,5,34,13,19,12,10,27,1.93,16,4,5,6,12,36,"Moerwijk-West"
"2533TZ","BU05183637",36,8,1,11,14,2,19,17,6,19,11,13,7,10,16,2.25,13,6,1,3,6,23,"Moerwijk-West"
"2533VC","BU05183637",32,8,2,8,9,5,15,17,2,19,11,9,5,11,15,2.13,10,5,2,1,7,22,"Moerwijk-West"
"2533VD","BU05183637",35,7,7,9,4,8,23,12,5,21,9,12,8,9,17,2.06,13,3,2,3,9,22,"Moerwijk-West"
"2533VE","BU05183637",48,10,2,17,15,4,21,27,5,32,11,16,8,15,28,1.71,13,5,2,3,18,35,"Moerwijk-West"
"2533VG","BU05183637",32,7,2,13,6,4,15,17,2,22,8,12,7,8,16,2,9,5,2,1,8,23,"Moerwijk-West"
"2533VH","BU05183637",41,8,3,14,12,4,21,20,6,23,12,11,12,10,22,1.86,12,7,0,2,13,29,"Moerwijk-West"
"2533VJ","BU05183637",19,3,2,4,9,1,4,15,2,13,4,5,6,5,12,1.58,5,2,0,0,10,14,"Moerwijk-West"
"2533VK","BU05183637",33,7,5,17,1,3,14,19,5,25,3,11,9,8,16,2.06,10,5,2,0,9,23,"Moerwijk-West"
"2533VL","BU05183637",28,4,3,8,6,7,16,12,3,17,8,9,7,9,15,1.87,6,4,3,0,8,22,"Moerwijk-West"
"2533VM","BU05183637",24,2,5,7,5,5,13,11,2,19,3,8,5,8,12,2,6,4,2,0,6,18,"Moerwijk-West"
"2533VN","BU05183637",36,8,7,8,9,4,17,19,2,24,10,8,6,14,18,2,13,4,1,3,10,23,"Moerwijk-West"
"2533VP","BU05183637",36,10,6,10,9,1,19,17,3,24,9,7,13,7,19,1.89,14,3,0,5,11,22,"Moerwijk-West"
"2533VR","BU05183637",7,1,1,3,0,2,3,4,1,5,1,2,4,0,4,1.75,1,0,2,1,1,6,"Moerwijk-West"
"2533VS","BU05183637",4,2,0,1,1,0,3,1,0,4,0,1,1,0,1,4,2,1,0,0,0,2,"Moerwijk-West"
"2533VT","BU05183637",10,2,2,1,3,2,6,4,1,6,3,3,2,4,7,1.43,2,1,0,1,5,8,"Moerwijk-West"
"2533VW","BU05183637",33,3,4,7,10,9,19,14,4,23,6,11,5,14,20,1.65,6,2,5,2,11,27,"Moerwijk-West"
"2533VZ","BU05183637",10,1,0,2,6,1,4,6,1,8,1,3,4,2,5,2,3,1,1,1,2,7,"Moerwijk-West"
"2533XM","BU05183637",20,3,3,4,7,3,11,9,5,14,1,7,6,4,13,1.54,5,1,1,2,9,15,"Moerwijk-West"
"2533XN","BU05183637",47,14,4,13,15,1,19,28,2,34,11,15,10,13,19,2.47,18,8,2,3,6,29,"Moerwijk-West"
"2533XP","BU05183637",17,2,2,5,6,2,6,11,2,14,1,9,4,2,11,1.55,3,2,1,0,8,14,"Moerwijk-West"
"2533XR","BU05183637",23,4,3,5,4,7,10,13,2,17,4,2,7,10,14,1.64,6,1,2,3,8,17,"Moerwijk-West"
"2533XS","BU05183637",40,8,6,11,11,4,17,23,7,21,12,12,12,10,20,2,13,5,2,3,10,27,"Moerwijk-West"
"2533XT","BU05183637",40,9,3,11,14,3,21,19,5,28,7,16,13,5,18,2.22,14,6,2,3,7,26,"Moerwijk-West"
"2533XV","BU05183637",37,11,3,10,11,2,20,17,3,24,10,14,5,7,16,2.31,13,6,2,2,6,24,"Moerwijk-West"
"2533XW","BU05183637",42,8,3,13,13,5,23,19,6,25,11,8,17,9,20,2.1,11,6,5,0,9,31,"Moerwijk-West"
"2533XX","BU05183637",49,14,2,20,8,5,27,22,5,31,13,13,16,7,19,2.58,18,9,3,1,6,31,"Moerwijk-West"
"2533XZ","BU05183637",46,12,3,16,9,6,23,23,3,28,15,10,13,15,21,2.19,16,7,2,0,12,30,"Moerwijk-West"
"2541AA","BU05183489",20,2,1,9,3,5,11,9,3,8,9,8,6,4,11,1.82,2,1,6,0,4,18,"Morgenstond-Oost"
"2541AB","BU05183489",18,3,2,4,3,6,10,8,6,9,3,6,4,4,13,1.38,3,0,2,2,9,15,"Morgenstond-Oost"
"2541AC","BU05183489",14,2,1,5,2,4,6,8,1,10,3,3,8,2,10,1.4,2,2,0,0,8,12,"Morgenstond-Oost"
"2541AD","BU05183489",21,3,3,5,4,6,10,11,2,12,7,6,5,8,11,1.91,5,2,3,1,5,16,"Morgenstond-Oost"
"2541AE","BU05183489",58,14,5,19,12,8,30,28,5,31,22,14,15,17,31,1.87,17,6,4,3,18,41,"Morgenstond-Oost"
"2541AG","BU05183489",37,4,4,16,7,6,20,17,6,16,15,10,12,12,23,1.61,6,4,4,1,14,31,"Morgenstond-Oost"
"2541AH","BU05183489",26,6,1,10,6,3,14,12,5,13,8,4,6,10,15,1.73,7,3,1,1,10,19,"Morgenstond-Oost"
"2541AJ","BU05183489",12,0,0,5,2,5,8,4,4,4,4,6,5,1,10,1.2,0,0,2,0,8,12,"Morgenstond-Oost"
"2541AK","BU05183489",20,3,1,9,6,1,8,12,4,10,6,8,5,5,13,1.54,3,2,2,0,9,17,"Morgenstond-Oost"
"2541AL","BU05183489",15,1,2,5,5,2,6,9,3,8,4,5,3,6,9,1.67,3,1,2,1,5,12,"Morgenstond-Oost"
"2541AM","BU05183489",45,12,4,12,15,2,20,25,6,18,21,11,14,9,21,2.14,18,6,0,5,10,27,"Morgenstond-Oost"
"2541AN","BU05183489",23,3,2,11,5,2,8,15,5,10,8,6,8,6,12,1.92,7,3,1,1,7,16,"Morgenstond-Oost"
"2541AP","BU05183489",36,5,2,14,13,2,19,17,4,24,8,11,9,11,22,1.64,8,2,4,2,14,28,"Morgenstond-Oost"
"2541AR","BU05183489",18,3,1,7,3,4,10,8,3,6,9,4,7,5,9,2,5,2,2,0,5,13,"Morgenstond-Oost"
"2541AS","BU05183489",31,4,1,18,5,3,14,17,8,13,10,10,7,9,19,1.63,5,4,3,0,12,26,"Morgenstond-Oost"
"2541AT","BU05183489",22,1,3,5,10,3,11,11,1,11,10,8,7,7,14,1.57,2,1,5,0,8,20,"Morgenstond-Oost"
"2541AV","BU05183489",26,2,2,17,3,2,13,13,4,15,7,7,7,10,20,1.3,2,1,3,0,16,24,"Morgenstond-Oost"
"2541AW","BU05183489",39,6,3,15,10,5,20,19,9,22,8,11,14,9,24,1.62,9,4,2,2,16,30,"Morgenstond-Oost"
"2541AX","BU05183489",41,8,7,12,10,4,19,22,4,22,15,12,11,8,20,2.05,13,6,2,1,11,28,"Morgenstond-Oost"
"2541AZ","BU05183489",45,12,3,11,13,6,29,16,6,24,15,9,14,12,20,2.25,15,7,3,1,9,30,"Morgenstond-Oost"
"2541BA","BU05183489",23,2,0,9,6,6,12,11,2,10,11,6,8,7,14,1.64,4,1,4,1,8,19,"Morgenstond-Oost"
"2541BB","BU05183489",34,5,2,15,8,4,17,17,4,19,11,7,9,14,17,2,8,4,5,1,7,26,"Morgenstond-Oost"
"2541BC","BU05183489",50,12,6,16,11,5,24,26,5,23,22,11,14,14,22,2.27,16,5,7,3,7,34,"Morgenstond-Oost"
"2541BD","BU05183489",21,3,0,9,4,5,12,9,3,12,6,8,5,7,14,1.5,3,1,3,1,9,18,"Morgenstond-Oost"
"2541CA","BU05183480",121,26,9,43,31,12,63,58,21,71,29,39,23,37,64,1.89,35,12,10,10,32,86,"Morgenstond-Zuid"
"2541CB","BU05183480",52,12,3,17,12,8,23,29,10,26,16,16,13,14,25,2.08,13,7,7,1,10,39,"Morgenstond-Zuid"
"2541CC","BU05183480",27,3,2,5,10,7,11,16,4,17,6,9,6,9,14,1.93,5,4,4,0,6,22,"Morgenstond-Zuid"
"2541CD","BU05183480",123,20,24,40,29,10,55,68,21,76,26,35,38,27,59,2.08,38,18,8,6,27,85,"Morgenstond-Zuid"
"2541CG","BU05183480",30,7,2,11,7,3,13,17,6,16,8,8,7,8,12,2.5,12,4,2,2,4,18,"Morgenstond-Zuid"
"2541CH","BU05183480",31,8,2,10,5,6,15,16,7,12,12,9,12,4,15,2.07,8,3,5,1,6,23,"Morgenstond-Zuid"
"2541CJ","BU05183480",26,2,5,9,6,4,13,13,1,16,9,7,9,8,15,1.73,5,1,5,2,7,21,"Morgenstond-Zuid"
"2541CK","BU05183480",11,3,0,4,2,2,4,7,1,9,1,3,4,1,5,2.2,4,2,0,0,3,7,"Morgenstond-Zuid"
"2541CP","BU05183480",37,10,2,18,3,4,16,21,7,19,11,4,14,9,18,2.06,12,4,3,3,8,25,"Morgenstond-Zuid"
"2541CR","BU05183480",35,4,9,12,7,3,18,17,6,22,7,11,13,8,18,1.94,9,3,5,3,7,26,"Morgenstond-Zuid"
"2541CT","BU05183480",35,9,2,9,10,5,20,15,4,19,12,12,8,7,17,2.06,11,5,2,1,9,24,"Morgenstond-Zuid"
"2541CV","BU05183480",55,6,9,17,16,7,28,27,6,34,15,25,16,11,31,1.77,13,5,6,4,16,42,"Morgenstond-Zuid"
"2541CW","BU05183480",41,12,1,15,8,5,25,16,2,26,13,13,8,10,19,2.16,15,6,1,1,11,26,"Morgenstond-Zuid"
"2541CX","BU05183480",19,3,2,5,5,4,11,8,5,10,4,4,7,6,13,1.46,4,1,1,2,9,15,"Morgenstond-Zuid"
"2541EA","BU05183480",97,16,5,41,26,9,41,56,20,53,24,34,32,16,53,1.83,22,10,12,2,29,75,"Morgenstond-Zuid"
"2541EB","BU05183480",19,2,4,5,6,2,9,10,1,13,5,3,9,6,10,1.9,6,3,0,0,7,13,"Morgenstond-Zuid"
"2541EC","BU05183480",37,7,5,13,9,3,19,18,1,24,12,13,8,11,16,2.31,14,4,3,4,5,23,"Morgenstond-Zuid"
"2541ED","BU05183480",18,3,1,8,5,1,10,8,2,12,4,6,5,4,11,1.64,4,2,1,1,7,14,"Morgenstond-Zuid"
